,610,760,910,1060,1210,1360,1510,1660,1810,1960,2110,2260,2410,2560,2710,2860,3010
600,44,48,52,55,59,63,67,71,75,78,82,86,91,95,99,105,109
700,45,49,52,56,60,64,68,72,76,80,84,88,93,97,101,107,111
800,45,49,53,57,61,66,70,74,78,82,86,90,95,99,103,110,114
900,46,50,54,58,63,67,71,75,79,84,88,92,97,101,106,112,116
1000,46,51,55,59,64,68,72,77,81,85,90,94,99,104,108,114,119
1100,47,51,56,60,65,69,74,78,82,87,91,96,101,106,110,117,121
1200,48,52,57,61,66,70,75,79,84,89,93,98,103,108,112,119,124
1300,48,53,57,62,66,72,76,81,86,90,95,100,105,110,115,122,126
1400,49,54,58,63,67,73,78,82,87,92,97,102,107,112,117,124,129
1500,49,54,59,64,68,74,79,84,89,94,99,103,109,114,119,126,131
1600,50,55,60,65,69,75,80,85,90,95,100,105,112,117,122,129,134
1700,51,56,61,66,70,76,81,87,92,97,102,107,114,119,124,131,136
1800,51,56,62,67,71,78,83,88,93,99,104,109,116,121,126,134,139
1900,52,57,63,68,72,79,84,90,95,100,106,111,118,123,128,136,141
2000,52,58,63,69,73,80,85,91,97,102,108,113,120,125,131,138,144
2100,53,59,64,70,74,81,87,92,98,104,109,115,122,127,133,141,146
2200,53,59,65,71,75,82,88,94,100,105,111,117,124,130,135,143,149
2300,54,60,66,72,76,84,89,95,101,107,113,119,126,132,138,146,152
2400,55,61,67,73,77,85,91,97,103,109,115,121,128,134,140,148,154
2500,56,63,69,75,79,87,93,99,105,112,118,124,130,136,142,150,157
2600,57,63,69,76,80,88,94,101,107,113,119,126,132,138,144,153,159
2700,58,64,70,77,81,89,96,102,109,115,121,128,134,140,147,155,162
2800,60,67,73,80,84,93,99,106,112,119,125,132,138,145,151,158,164
2900,61,67,74,81,85,94,101,107,114,120,127,134,140,147,153,160,167
3000,61,68,75,82,86,95,102,109,115,122,129,136,142,149,156,162,169
