0,2000,2200,2600,3000,3500,4000,4600,5400,6300,7200
800,332,415,581,614,664,747,0,0,0,0
1000,415,482,648,714,747,830,0,0,0,0
1200,498,565,681,747,797,863,913,1162,0,0
1400,581,648,730,847,1112,1195,1295,1394,0,0
1600,664,730,813,1062,1145,1261,1361,1494,1643,1825
1800,747,822,863,1095,1162,1295,1394,1527,1676,1991
2000,830,896,930,1162,1212,1311,1427,1560,1693,2008
2200,863,913,979,1195,1228,1328,1444,1593,1709,2058
2400,888,930,1029,1228,1245,1344,1460,1626,1742,2074
2600,954,1012,1079,1261,1328,1444,1626,1659,1825,2240
2800,996,1046,1129,1295,1394,1527,1643,1742,1991,2323
3000,1029,1079,1178,1328,1460,1560,1676,1908,2074,2406
