0,1100,1300,1500,1750,2000,2350,2700,3000,3600,4500
800,274,299,316,324,332,0,0,0,0,0
1000,283,307,324,332,341,0,0,0,0,0
1200,291,316,332,341,365,432,498,0,0,0
1400,299,324,374,390,415,614,664,0,0,0
1600,307,332,407,424,482,664,730,747,797,0
1800,316,374,440,457,540,681,747,780,830,0
2000,332,407,473,506,598,697,764,813,863,1062
2200,382,440,506,540,648,706,780,847,896,1079
2400,415,473,540,573,697,714,797,880,930,1095
2600,448,506,573,606,747,764,813,913,963,1195
2800,482,540,606,639,797,813,830,946,996,1245
3000,515,573,639,672,847,863,880,979,1029,1278
