0,300,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2500,2800
900,136,165,194,227,263,294,327,371,413,454,489,524,564,678,814
1050,143,175,207,243,283,316,352,399,444,489,526,564,608,731,879
1200,150,186,221,261,304,341,380,430,479,528,569,610,657,790,950
1350,157,196,235,277,324,364,405,460,513,565,609,653,704,847,1019
1500,165,207,249,296,346,389,433,491,548,604,651,697,752,905,1089
1650,172,216,261,310,363,409,454,515,575,634,683,732,790,951,1146
1800,186,235,283,335,392,441,489,556,621,685,740,793,856,1033,1246
1950,194,247,299,355,415,468,519,590,659,728,786,842,910,1098,1324
2100,201,257,312,371,434,490,543,617,690,763,824,883,953,1151,1390
2250,209,269,328,391,458,518,574,652,729,806,871,933,1008,1217,1469
2400,219,282,344,411,481,543,603,685,767,847,917,981,1060,1281,1547
2700,233,302,371,445,522,592,657,747,837,924,1001,1070,1157,1398,1690
