0,300,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2500,2800
900,98,114,130,149,170,192,220,242,262,284,317,347,370,427,501
1050,104,122,140,160,182,206,237,261,283,306,341,374,399,460,540
1200,107,126,145,167,191,216,248,273,297,321,357,392,418,482,567
1350,111,132,153,176,201,228,262,289,314,340,377,414,441,510,599
1500,114,136,158,183,209,237,273,301,327,354,393,432,460,532,626
1650,120,143,166,192,220,249,288,318,345,374,413,455,485,560,659
1800,129,154,179,206,235,266,306,337,366,396,437,480,512,590,693
1950,132,158,184,212,243,275,317,349,379,411,453,498,531,612,720
2100,138,166,193,223,255,289,334,368,399,432,476,524,558,644,756
2250,141,170,199,230,263,299,345,380,413,447,492,542,577,666,783
2400,145,175,206,238,273,309,358,394,428,464,510,562,599,691,813
2700,154,187,220,255,293,332,384,424,461,499,549,605,644,744,875
