0,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000
600,42,55,70,83,98,112,127,133,147,164,176,191,204,216
800,47,63,81,97,114,124,141,156,173,192,207,224,240,255
1000,53,72,91,105,124,142,161,179,199,220,238,258,276,293
1200,58,80,102,118,139,160,182,202,225,248,269,291,312,332
1400,64,88,108,130,155,178,203,225,250,277,300,325,348,370
1600,69,96,119,144,171,199,226,251,280,305,330,358,384,409
1800,75,99,129,157,187,217,246,274,305,333,361,391,419,448
2000,80,107,139,170,202,235,267,297,331,362,392,425,455,486
2200,85,115,150,183,217,253,287,321,357,390,423,458,491,525
2400,91,122,160,196,233,271,308,344,382,418,454,492,527,563
2600,92,130,170,209,248,289,329,367,408,446,485,525,563,602
2800,97,138,181,221,264,307,349,390,434,475,515,558,599,640
3000,102,145,191,234,279,325,370,413,459,503,546,592,635,679
3200,107,153,201,247,294,343,390,436,485,531,577,625,671,717
3400,112,161,212,260,310,361,411,459,511,559,608,659,707,756
3600,118,169,222,273,325,379,431,482,536,588,639,692,743,794
