0,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000
600,35,45,57,67,78,89,101,106,115,127,137,149,159,169
800,39,51,64,76,90,98,110,122,133,147,158,173,184,196
1000,42,57,72,82,96,110,125,138,151,166,180,196,209,223
1200,46,62,79,91,107,123,139,154,169,186,201,219,234,249
1400,50,68,83,100,118,135,153,170,187,206,223,242,259,276
1600,54,73,91,109,129,149,169,187,206,226,245,266,284,303
1800,58,75,98,118,140,161,183,203,224,246,266,289,309,330
2000,61,81,105,127,151,174,197,219,241,266,288,312,334,357
2200,65,86,112,136,161,186,211,236,259,285,309,335,359,383
2400,69,92,119,145,172,199,226,252,277,305,331,358,384,410
2600,69,97,127,154,183,211,240,268,295,325,352,382,409,437
2800,73,102,134,163,194,224,254,284,313,344,374,405,434,464
3000,77,108,141,172,204,236,269,300,331,364,395,428,459,491
3200,80,113,148,181,215,249,283,316,349,384,417,451,484,517
3400,84,119,155,190,226,261,297,332,367,403,438,475,509,544
3600,87,124,162,199,236,274,312,348,384,423,459,498,534,571
