0,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000
450,77,82,88,93,99,104,134,142,150,158,166,176,184,193,201,209,217,225
600,83,89,95,102,108,115,146,155,164,174,183,193,202,213,221,230,240,249
750,88,96,103,110,118,126,158,169,179,189,199,210,220,233,241,252,262,273
900,94,102,111,119,128,137,170,182,193,205,216,227,239,252,261,272,284,295
1050,99,109,118,128,138,148,183,195,208,220,232,246,259,274,284,297,309,322
1200,105,115,126,137,148,159,195,209,222,235,249,263,277,294,305,318,332,346
1350,110,122,134,145,158,170,207,222,236,251,266,281,296,314,326,341,356,371
1500,116,129,142,154,168,181,219,235,251,266,282,299,314,334,347,363,378,394
1650,121,135,149,163,178,192,231,248,265,282,299,317,334,355,368,385,403,420
1800,127,142,157,172,188,203,243,262,280,297,315,334,352,375,389,407,425,443
1950,132,148,165,180,198,214,256,275,294,313,332,351,370,394,409,429,448,467
2100,138,155,172,189,208,225,268,288,309,328,348,371,391,417,432,453,473,494
2250,144,163,181,200,220,239,283,304,327,348,369,393,415,436,453,474,496,518
2400,150,169,189,209,230,250,295,318,341,364,386,410,433,456,473,496,519,541
2550,154,175,195,216,238,258,305,327,352,375,398,425,448,478,496,520,544,568
2700,160,181,203,224,248,269,317,341,366,391,415,442,467,498,517,542,567,592
2850,165,188,210,233,258,280,329,354,381,406,431,459,485,518,537,563,589,615
