0,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000
450,89,98,106,114,123,131,139,148,156,164,173,181,189,198,252,263,274,285
600,98,108,117,127,137,147,157,167,177,187,196,206,216,226,281,294,306,319
750,106,117,129,140,152,163,174,186,197,209,220,231,243,254,311,325,339,353
900,114,127,140,153,166,179,192,205,218,231,244,257,270,283,341,357,372,388
1050,123,137,152,166,181,195,210,224,238,253,267,282,296,311,371,388,405,422
1200,131,147,163,179,195,211,227,243,259,275,291,307,323,339,401,419,438,457
1350,139,157,174,192,210,227,245,262,280,297,315,332,350,367,430,451,471,491
1500,148,167,186,205,224,243,262,281,300,319,338,357,376,396,460,482,504,525
1650,156,177,197,218,238,259,280,300,321,341,362,383,403,424,490,513,536,560
1800,164,187,209,231,253,275,297,319,341,364,386,408,430,452,520,544,569,594
1950,173,196,220,244,267,291,315,338,362,386,409,433,457,480,549,576,602,628
2100,181,206,231,257,282,307,332,357,383,408,433,458,483,509,579,607,635,663
2250,189,216,243,270,296,323,350,376,403,430,457,483,510,537,609,638,668,697
2400,198,226,254,283,311,339,367,396,424,452,480,509,537,565,639,670,701,732
2550,206,236,266,295,325,355,385,415,444,474,504,534,564,593,669,701,734,766
2700,241,275,309,343,377,411,445,460,494,528,562,596,630,664,698,732,766,800
2850,250,285,321,356,392,427,463,479,515,551,586,622,657,693,728,764,799,835
