0,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000
450,104,114,124,134,144,154,164,174,184,194,204,214,224,234,244,254,264,274
600,114,126,138,150,162,174,186,198,211,223,235,247,259,271,283,295,307,319
750,124,138,152,166,181,195,209,223,237,251,265,280,294,308,322,336,350,364
900,134,150,166,183,199,215,231,247,264,280,296,312,328,345,361,377,393,410
1050,144,162,181,199,217,235,254,272,290,309,327,345,363,382,400,418,436,455
1200,154,174,195,215,235,256,276,296,317,337,357,378,398,419,439,459,480,500
1350,164,186,209,231,254,276,298,321,343,366,388,411,433,455,478,500,523,545
1500,174,198,223,247,272,296,321,345,370,394,419,443,468,492,517,541,566,590
1650,184,210,237,264,290,317,343,370,396,423,450,476,503,529,556,582,609,636
1800,194,223,251,280,308,337,366,394,423,452,480,509,538,566,595,624,652,681
1950,204,235,265,296,327,357,388,419,450,480,511,542,572,603,634,665,695,726
2100,214,247,279,312,345,378,411,443,476,509,542,575,607,640,673,706,738,771
2250,224,259,294,328,363,398,433,468,503,538,572,607,642,677,712,747,782,816
2400,234,271,308,345,382,418,455,492,529,566,603,640,677,714,751,788,825,862
2550,244,283,322,361,400,439,478,517,556,595,634,673,712,751,790,829,868,907
2700,254,295,336,377,418,459,500,541,582,624,665,706,747,788,829,870,911,952
2850,264,307,350,393,436,480,523,566,609,652,695,738,782,825,868,911,954,997
