0,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000
450,137,150,164,178,191,205,218,232,246,259,273,287,300,314,462,483,505,526
600,150,167,183,199,215,231,247,263,279,295,312,328,344,360,510,534,558,582
750,164,183,201,220,239,257,276,294,313,332,350,369,387,406,559,585,612,638
900,178,199,220,241,262,283,304,325,347,368,389,410,431,452,607,636,665,694
1050,191,215,239,262,286,309,333,357,380,404,427,451,475,498,656,688,719,751
1200,205,231,257,283,309,335,362,388,414,440,466,492,518,544,705,739,773,807
1350,218,247,276,304,333,362,390,419,447,476,505,533,562,591,753,790,826,863
1500,232,263,294,325,357,388,419,450,481,512,543,574,606,637,802,841,880,919
1650,246,279,313,347,380,414,447,481,515,548,582,616,649,683,851,892,934,975
1800,259,295,332,368,404,440,476,512,548,584,621,657,693,729,899,943,987,1031
1950,273,312,350,389,427,466,505,543,582,621,659,698,736,775,948,994,1041,1087
2100,287,328,369,410,451,492,533,574,616,657,698,739,780,821,997,1046,1095,1144
2250,300,344,387,431,475,518,562,606,649,693,736,780,824,867,1045,1097,1148,1200
2400,314,360,406,452,498,544,591,637,683,729,775,821,867,913,1094,1148,1202,1256
2550,327,376,425,473,522,571,619,668,716,765,814,862,911,960,1142,1199,1256,1312
2700,365,424,483,542,601,660,719,778,837,896,955,1014,1073,1132,1191,1250,1309,1368
2850,378,440,501,563,624,686,747,809,871,932,994,1055,1117,1178,1240,1301,1363,1424
