0,450,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000
450,123,135,148,160,172,185,197,209,222,234,246,259,271,284,418,437,457,476
600,135,150,165,179,194,208,223,238,252,267,282,296,311,325,462,484,506,527
750,148,165,181,198,215,232,249,266,283,300,317,334,350,367,506,530,554,578
900,160,179,198,218,237,256,275,294,313,333,352,371,390,409,550,577,603,629
1050,172,194,215,237,258,280,301,322,344,365,387,408,430,451,594,623,652,680
1200,185,208,232,256,280,303,327,351,374,398,422,446,469,493,639,669,700,731
1350,197,223,249,275,301,327,353,379,405,431,457,483,509,535,683,716,749,782
1500,209,238,266,294,322,351,379,407,435,464,492,520,549,577,727,762,798,833
1650,222,252,283,313,344,374,405,435,466,497,527,558,588,619,771,809,846,884
1800,234,267,300,333,365,398,431,464,497,529,562,595,628,661,815,855,895,935
1950,246,282,317,352,387,422,457,492,527,562,597,632,667,702,859,902,944,986
2100,259,296,334,371,408,446,483,520,558,595,632,670,707,744,904,948,993,1037
2250,271,311,350,390,430,469,509,549,588,628,667,707,747,786,948,994,1041,1088
2400,284,325,367,409,451,493,535,577,619,661,702,744,786,828,992,1041,1090,1139
2550,296,340,384,428,473,517,561,605,649,693,737,782,826,870,1036,1087,1139,1190
2700,330,383,437,491,544,598,651,705,759,812,866,919,973,1027,1080,1134,1187,1241
2850,342,398,454,510,566,621,677,733,789,845,901,957,1013,1068,1124,1180,1236,1292
