0,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500,4750,5000,5250,5500,5750
1000,297,346,386,424,475,519,558,607,647,686,735,769,808,848,897,936,975,1024,1063,1112
1250,321,379,424,468,527,577,621,678,724,768,826,865,909,955,1012,1057,1101,1158,1203,1260
1500,346,412,463,512,580,634,684,750,801,850,916,961,1011,1062,1128,1177,1227,1293,1343,1408
1750,371,445,501,556,632,692,747,821,878,933,1007,1057,1112,1169,1243,1298,1353,1427,1483,1557
2000,395,478,539,600,684,750,810,893,954,1015,1097,1153,1214,1276,1358,1419,1480,1562,1623,1705
2250,420,510,578,644,736,807,873,964,1031,1097,1188,1249,1315,1383,1473,1540,1606,1696,1763,1853
2500,445,543,616,688,788,865,937,1035,1108,1180,1278,1345,1417,1490,1589,1660,1732,1831,1903,2001
2750,469,576,655,732,840,923,1000,1107,1185,1262,1369,1441,1518,1597,1704,1781,1858,1965,2043,2149
3000,494,609,693,776,892,980,1063,1178,1262,1344,1460,1537,1620,1704,1819,1902,1985,2100,2183,2298
3250,519,642,732,820,945,1038,1126,1249,1339,1427,1550,1633,1722,1811,1935,2023,2111,2234,2323,2446
3500,544,675,770,864,997,1095,1189,1321,1416,1509,1641,1729,1823,1918,2050,2144,2237,2369,2462,2594
3600,568,708,808,908,1049,1153,1252,1392,1492,1592,1731,1826,1925,2025,2165,2264,2363,2503,2602,2742
