,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000
600,40,43,46,49,52,55,57,61,63,66,70,72,80,84,86,105,109
800,41,45,48,51,54,57,60,63,67,70,73,76,85,88,92,110,114
1000,43,46,49,53,57,60,63,67,70,74,77,80,90,93,97,115,119
1200,44,48,51,55,59,62,66,70,74,77,81,84,94,98,101,120,125
1400,45,49,53,57,61,65,69,73,77,81,85,88,99,103,107,126,130
1600,47,51,55,59,63,68,72,76,80,84,88,93,103,107,111,131,136
1800,48,52,57,61,65,70,75,79,84,88,92,97,107,111,116,136,141
2000,49,54,59,63,68,73,78,82,87,92,97,101,111,116,121,141,147
2200,50,55,60,65,70,75,80,85,90,95,101,105,116,121,126,146,153
2400,51,57,62,68,72,78,83,88,94,99,104,109,120,126,131,152,158
2600,57,63,69,74,78,86,91,97,103,108,113,119,125,130,136,157,163
2800,59,65,70,76,82,88,94,100,106,111,117,124,129,135,141,162,169
3000,63,70,77,84,91,98,105,112,119,126,132,140,146,153,160,167,174
