,610,710,810,910,1010,1110,1210,1310,1410,1510,1610,1710,1810,1910,2010,2110,2210,2310,2410,2510,2610,2710,2810,2910
600,103,110,118,126,134,141,149,156,164,172,180,181,188,195,202,210,316,325,334,338,347,359,368,376
700,107,115,124,133,141,149,157,166,174,177,185,193,200,208,216,225,332,341,351,355,365,377,387,397
800,111,120,129,139,148,157,166,169,178,187,196,204,213,221,230,239,347,357,368,372,383,396,406,417
900,116,126,135,146,156,165,169,178,188,198,207,216,225,235,244,254,362,373,384,390,401,415,426,437
1000,130,142,154,167,173,184,196,207,218,231,242,253,265,276,287,300,410,424,437,444,457,474,487,500
1100,135,147,160,168,180,192,204,216,228,241,253,265,277,289,301,315,426,440,453,462,475,493,506,520
1200,139,152,166,174,187,200,212,225,238,252,264,277,290,303,315,329,441,456,470,479,493,511,526,540
1300,143,158,166,181,194,207,221,234,248,262,276,289,302,316,329,344,456,472,487,496,511,530,545,560
1400,148,163,171,187,201,215,229,243,257,273,287,301,315,329,343,358,472,488,503,514,529,549,565,580
1500,152,162,177,193,208,223,237,252,267,283,298,313,327,342,357,373,487,503,520,531,547,568,584,601
1600,167,178,195,213,230,247,264,281,298,316,333,350,367,384,401,419,535,554,572,585,604,626,645,664
1700,165,183,200,220,237,255,272,290,307,327,344,362,379,397,415,434,550,570,589,603,622,645,664,684
1800,170,188,206,226,244,262,281,299,317,337,355,374,392,410,428,448,566,586,606,620,640,664,684,704
1900,174,193,212,232,251,270,289,308,327,348,367,385,404,423,442,463,581,602,622,637,658,683,703,724
2000,178,198,217,239,258,278,297,317,337,358,378,397,417,437,456,478,596,618,639,655,676,701,723,744
2100,182,203,223,245,265,286,306,326,347,368,389,409,429,450,470,492,612,634,656,672,694,720,742,764
2200,196,218,241,265,287,310,332,355,377,402,424,446,469,491,514,538,660,684,708,727,751,779,803,827
2300,200,223,246,271,294,318,341,364,387,412,435,458,481,505,528,553,675,700,725,744,769,798,823,848
2400,204,228,252,278,301,325,349,373,397,422,446,470,494,518,542,567,690,716,741,761,787,817,842,868
2500,208,233,257,284,308,333,357,382,406,433,457,482,506,531,555,582,706,732,758,779,805,835,862,888
2600,213,238,263,290,315,341,366,391,416,443,469,494,519,544,569,597,721,748,775,796,823,854,881,908
2700,217,243,269,297,322,348,374,400,426,454,480,506,532,557,583,611,736,764,791,813,841,873,900,928
2800,230,258,286,317,345,373,401,429,457,487,515,543,571,599,627,657,784,814,844,868,897,932,961,991
2900,235,263,292,323,352,380,409,438,466,497,526,555,583,612,641,672,800,830,860,885,915,950,981,1011
3000,239,268,298,329,359,388,417,447,476,508,537,567,596,625,655,686,815,846,877,902,934,969,1000,1031
3100,243,273,303,336,366,396,426,456,486,518,548,578,609,639,669,701,830,862,894,920,952,988,1020,1052
3200,247,278,309,342,373,403,434,465,496,529,560,590,621,652,683,716,846,878,910,937,970,1007,1039,1072
